Date,Customer_ID,Age,Gender,Income,Spending_Score,Credit_Score,Loan_Amount,Previous_Defaults,Marketing_Spend,Purchase_Frequency,Seasonality,Sales,Customer_Churn,Defaulted
2024-01-08,77,61,Male,63221,97,374,13429,1,3011,10,Medium,49386,1,0
2024-02-16,78,51,Male,30478,87,429,19716,1,18826,4,Low,51287,0,0
2024-02-04,79,27,Male,148055,55,588.5,16138,1,12246,5,Medium,91724,0,0
2024-03-18,80,53,Male,75645,92,321,40298,0,14790,28,Medium,98308,1,1
2024-03-21,81,31,Male,130698,32,758,28429,1,12738,28,Low,81312,0,0
2024-02-05,82,48,Female,39262,50,838,10772,0,15730,10,Low,80324,1,1
2024-02-19,83,65,Male,138831,7,681,29817,0,12120,11,High,76196,1,0
2024-04-13,84,32,Male,72796,93,739,44905,1,19213,21,Low,75014,0,0
2024-01-04,85,25,Male,24432,8,320,22347,1,9767,24,High,13210,0,0
2024-01-02,86,31,Female,85375.5,65,602,21920,0,14703,10,Low,15922,0,0
2024-01-06,87,40,Female,84291,57,383,36822,1,1929,28,Low,41289,0,0
2024-02-23,88,57,Male,99104,67,752,45108,1,12951,8,High,38340,1,0
2024-04-15,89,38,Female,79399,88,686,28563,1,16845,2,Low,44850,0,0
2024-01-04,90,33,Male,147600,87,806,12967,2,18438,23,High,61984,1,0
2024-02-23,91,62,Male,99714,59,556,16871,0,16747,8,Low,89178,0,0
2024-04-02,92,35,Female,70428,72,826,33763,2,6744,16,Medium,16094,0,1
2024-03-03,93,64,Male,107731,54,461,16916,1,19284,27,Low,92959,0,0
2024-01-18,94,41,Female,145646,67,462,13734,2,10649,22,High,38418,0,0
2024-03-30,95,43,Female,85375.5,51,823,38613,1,7980,5,Low,10741,0,0
2024-02-13,96,42,Male,102558,97,570,33179,2,8069,27,High,77374,0,0
2024-02-03,97,62,Male,20055,92,791,40262,1,10591,25,High,73798,1,0
2024-03-14,98,58,Female,131317,8,507,17677,2,1442,29,Medium,75532,0,1
2024-03-02,99,46,Male,28717,34,838,23268,2,5652,3,Medium,27164,0,0
2024-04-09,100,32,Male,147449,35,359,29817,2,10370,12,High,40595,0,0
2024-01-14,101,62,Male,48699,96,729,29817,0,8597,13,Low,35257,1,0
2024-04-04,102,18,Female,85375.5,88,608,42947,2,15325,13,High,19211,0,1
2024-02-17,103,42,Female,87661,78,819,32286,0,5458,10,High,10232,0,0
2024-01-15,104,24,Male,64247,32,326,29817,1,7591,4,Low,72753,1,0
2024-03-12,105,26,Female,134049,46,498,11430,2,17346,9,Low,57691,1,1
2024-03-18,106,41,Female,36748,16,686,44922,1,12826,22,Low,94765,0,0
2024-03-27,107,18,Female,125113,68,588.5,18828,1,19693,24,Low,84768,0,1
2024-03-02,108,61,Female,24621,37,835,47913,2,15138,23,High,30613,0,0
2024-02-09,109,25,Female,35034,54,677,36497,0,18294,27,High,19026,0,0
2024-03-25,110,41,Male,131927,85,826,44256,2,3169,2,Medium,58535,1,0
2024-04-18,112,68,Male,25126,95,505,29817,1,7313,1,Low,35908,1,1
2024-03-22,113,34,Female,25122,55,754,35158,2,9315,25,Medium,57113,0,0
2024-04-20,114,25,Female,38030,48,572,30032,0,9036,29,Low,24610,0,0
2024-02-22,115,52,Male,102838,82,588.5,42846,0,1785,7,High,51646,0,0
2024-01-24,116,52,Female,104717,7,820,49936,1,7139,17,Medium,68185,0,0
2024-01-26,117,50,Male,75658,74,800,34794,1,7344,3,Low,77567,1,0
2024-03-29,118,22,Male,58638,7,416,10448,0,19800,20,Medium,52574,1,0
2024-02-29,119,59,Male,87067,33,685,33861,2,15973,20,Medium,96051,0,0
2024-04-18,120,56,Female,126476,23,643,33141,1,6619,21,High,41182,0,0
2024-02-10,121,58,Female,138033,85,694,14074,0,2936,3,Low,5570,0,0
2024-01-29,122,45,Male,125977,19,363,11406,1,4807,3,Medium,24288,0,0
2024-01-15,123,24,Male,108869,19,371,36823,2,8151,17,Medium,83824,0,0
2024-02-14,124,26,Male,85375.5,36,573,28291,0,10493,7,Low,34877,0,1
2024-03-05,125,25,Male,54674,29,619,46568,1,13355,27,Medium,89425,0,1
2024-03-29,126,29,Female,55854,60,637,37003,2,4236,26,Medium,5917,1,0
2024-03-11,127,51,Female,66271,82,665,29817,1,16848,14,Medium,80602,0,0
2024-01-09,128,50,Male,93688,2,794,28312,2,3352,17,Low,69575,0,0
2024-03-28,129,65,Male,58518,1,465,48108,2,2932,18,Low,77518,0,0
2024-01-01,130,40,Female,131076,47,843,6382,0,11913,13,Low,44104,0,0
2024-04-17,131,41,Female,30267,69,310,39171,2,9556,20,Low,23062,0,0
2024-01-08,132,54,Male,110825,20,600,29817,1,6498,29,High,21999,1,0
2024-03-28,133,52,Male,21062,11,588.5,8292,2,11582,20,Medium,66845,1,1
2024-03-03,134,61,Male,136664,2,588.5,46779,2,18330,21,Low,14941,0,0
2024-01-11,135,57,Female,85375.5,67,691,38187,0,14865,27,Medium,66169,0,0
2024-04-24,136,39,Female,85375.5,87,513,17411,2,10569,18,Medium,28470,0,0
2024-03-21,137,44,Female,26229,12,588.5,42285,2,18823,4,High,64821,1,0
2024-01-08,138,52,Male,85375.5,20,700,20422,1,5857,1,Low,91669,0,1
2024-02-04,139,18,Male,85375.5,5,345,47468,0,1340,18,Low,49435,0,0
2024-02-04,140,52,Female,67915,37,762,37371,0,12181,1,Medium,9529,0,0
2024-02-02,141,54,Female,24632,38,588.5,10693,0,17766,26,Low,88055,0,0
2024-01-05,142,64,Male,85375.5,94,588.5,38535,2,9491,26,Medium,17192,0,0
2024-04-15,143,31,Female,85375.5,9,391,19818,0,1138,13,Medium,79102,1,0
2024-04-12,144,20,Female,129779,98,541,36238,2,1358,20,High,77762,0,1
2024-02-10,145,18,Male,26168,53,301,35874,2,10714,20,High,91795,0,1
2024-01-28,146,22,Female,128099,44,524,31715,1,2627,23,High,39087,0,0
2024-01-07,147,43,Male,27561,99,415,32605,1,16996,10,Medium,71677,1,0
2024-03-13,148,31,Male,93794,86,402,39317,1,6004,27,Low,9627,1,1
2024-03-12,149,56,Male,102152,24,493,36174,1,14283,11,High,61541,0,0
2024-01-12,150,44,Male,145036,81,465,14956,1,7652,9,Low,73226,1,0
2024-02-03,151,26,Male,144049,74,389,43908,2,3151,9,High,8255,0,0
2024-02-02,152,32,Male,46734,30,588.5,15837,2,10429,5,High,62433,0,0
2024-02-17,153,32,Male,26371,59,442,29817,0,15072,26,Medium,10213,0,0
2024-04-28,154,43,Female,138894,87,405,9481,2,12927,1,High,24404,0,0
2024-01-23,155,59,Male,46069,96,727,29282,2,7905,17,High,30380,0,0
2024-03-02,156,30,Male,99905,81,604,11548,1,13452,22,Medium,96056,0,0
2024-03-28,157,68,Female,32910,81,616,29817,2,17212,2,Low,24173,0,0
2024-02-06,158,49,Female,93479,14,308,12758,1,19951,24,High,58027,1,1
2024-04-08,159,56,Female,85375.5,9,372,48668,0,2307,13,Medium,28989,0,1
2024-02-13,160,66,Male,101264,40,658,28177,0,15852,9,High,29519,0,1
2024-04-13,161,69,Female,43275,66,522,29022,2,3660,29,Medium,27439,0,0
2024-03-26,162,49,Male,92274,25,588.5,45761,0,11403,4,Low,81949,0,0
2024-03-31,163,21,Male,85375.5,73,669,10542,2,11238,5,Low,19995,0,0
2024-02-04,164,47,Male,120776,22,563,30476,0,7207,11,Medium,28559,0,0
2024-03-05,165,54,Male,80004,4,617,35784,1,2140,24,Medium,94049,1,0
2024-04-08,166,40,Female,82981,26,383,27740,1,2708,19,Medium,10021,0,0
2024-04-10,167,56,Female,104659,58,617,29817,1,4630,21,Low,26119,0,0
2024-02-16,168,62,Male,74553,29,410,21052,1,11485,3,High,56539,1,1
2024-03-18,169,32,Male,68447,98,550,40153,2,13021,12,Low,99835,0,0
2024-01-03,170,60,Male,54529,87,682,5671,0,17859,26,Medium,44350,0,0
2024-01-01,171,46,Female,146394,37,306,5163,2,8684,19,Medium,51223,0,0
2024-01-05,172,53,Male,95703,75,758,29817,1,2207,19,Low,30517,0,1
2024-03-30,173,30,Male,96090,70,383,49002,2,14331,13,Medium,83653,0,0
2024-04-28,174,49,Female,37260,18,507,9795,0,2960,28,Low,27250,0,1
2024-01-14,175,24,Female,132581,85,689,15634,2,1557,7,Medium,89486,0,1
2024-04-12,176,68,Male,23812,42,613,9798,0,16883,15,High,87895,0,0
2024-01-27,177,39,Female,48024,41,321,27420,2,14893,23,High,94132,1,0
2024-01-09,178,45,Female,78656,38,709,34300,0,1882,7,Medium,96066,0,0
2024-03-19,179,19,Male,136148,34,814,29345,0,5761,26,Low,71798,0,0
2024-01-15,180,59,Female,47285,17,426,15749,1,6867,8,High,59199,1,0
2024-03-30,181,62,Male,112436,37,313,43595,0,13869,5,Low,64546,0,0
2024-02-11,182,23,Female,136421,25,311,30121,1,8166,21,Medium,93151,0,1
2024-03-17,183,45,Male,21605,76,386,42487,1,13982,14,Low,8327,1,1
2024-02-20,184,45,Male,91158,87,823,33411,1,8929,4,High,34768,0,0
2024-03-03,185,61,Male,92303,86,836,38361,2,6347,23,Low,69418,0,0
2024-04-05,186,61,Female,47139,85,600,26223,2,8269,10,Low,99386,1,0
2024-04-12,187,37,Male,97149,27,542,12394,2,14527,20,Medium,47788,0,0
2024-04-22,188,47,Female,76138,57,421,19056,2,3454,15,Medium,87384,0,0
2024-02-21,189,28,Male,138205,31,446,33380,0,19330,18,Medium,51830,0,0
2024-04-05,190,45,Male,96125,6,655,31035,0,13991,20,High,57446,0,0
2024-01-04,191,42,Female,33918,91,608,35620,2,3808,13,High,20160,0,0
2024-04-03,192,56,Male,105655,40,587,24877,0,7642,29,Medium,61583,1,1
2024-04-10,193,50,Male,47446,98,606,48404,0,4825,8,Medium,38998,0,0
2024-01-23,194,18,Female,85375.5,12,848,35911,1,4536,9,High,32230,1,0
2024-04-12,195,44,Male,33046,53,651,37784,1,16309,16,High,14076,0,0
2024-04-18,196,69,Male,149922,71,588.5,8191,1,4802,19,High,74341,1,0
2024-01-15,197,30,Male,44818,10,358,38160,1,19354,16,High,36085,0,0
2024-02-12,198,58,Male,120894,45,334,30000,0,7142,7,Medium,60571,0,0
2024-01-29,199,20,Female,135751,17,744,44040,2,10094,14,High,19715,0,0
2024-02-05,200,56,Female,24324,26,392,8631,0,1364,28,Medium,10750,0,0
2024-01-13,201,23,Male,96323,85,506,11172,0,16688,14,Low,83768,0,0
2024-02-01,202,25,Female,29111,92,652,47080,0,2863,25,Low,40903,1,0
2024-03-11,203,44,Male,58110,62,631,28561,1,17499,27,High,77489,1,0
2024-02-28,204,26,Female,36389,46,458,29817,1,8084,4,Low,37093,0,1
2024-04-24,205,54,Male,85375.5,64,323,25281,1,9016,26,Low,96036,0,0
2024-03-26,206,50,Male,61427,2,703,33671,2,3384,15,Low,92954,0,1
2024-01-28,207,68,Male,99579,54,815,30364,0,16072,3,High,39314,0,0
2024-03-06,208,59,Male,48746,65,663,46674,2,4935,5,High,53225,0,1
2024-02-11,209,61,Male,142883,51,681,32425,1,14127,1,Low,92985,1,0
2024-02-14,210,41,Male,107886,53,831,33602,2,15482,3,Medium,88014,1,0
2024-03-02,211,32,Female,127141,36,451,28253,0,8742,15,Low,40179,0,0
2024-02-26,212,49,Male,20117,26,719,28472,0,17165,24,High,30338,0,0
2024-04-26,213,49,Female,145808,29,549,13080,1,3490,27,High,97435,0,0
2024-01-06,214,41,Male,132221,21,416,12099,1,14324,8,High,74681,0,0
2024-01-28,215,58,Female,104471,11,811,30431,2,19108,29,Low,37101,0,0
2024-01-28,216,69,Female,132613,40,634,36186,1,2137,4,Medium,7775,0,0
2024-04-17,217,66,Female,85375.5,11,717,35111,1,4420,2,High,50619,1,0
2024-02-13,218,66,Male,149597,36,594,44851,0,6845,29,High,50838,0,0
2024-03-24,219,69,Male,123864,59,670,27614,1,4906,24,Low,24539,0,0
2024-01-30,220,29,Female,73441,39,485,31724,1,13413,24,Medium,62124,1,0
2024-03-02,221,56,Male,20846,99,545,29817,0,1276,10,Low,70149,1,0
2024-03-15,222,19,Female,30954,54,588.5,29817,0,19383,4,High,31616,0,1
2024-04-28,223,20,Male,85375.5,98,588.5,33758,2,18611,3,Medium,84655,0,0
2024-04-01,224,66,Female,133689,55,829,41224,1,7337,2,Medium,95695,0,0
2024-03-29,225,54,Female,66514,24,588.5,12788,0,12944,25,High,59567,1,1
2024-04-12,226,66,Male,108236,22,819,33082,2,16906,17,Medium,42099,0,0
2024-03-02,227,34,Female,85375.5,69,399,29034,2,18079,23,Medium,80831,0,0
2024-04-06,228,66,Male,148644,56,777,40479,1,13306,21,Low,66799,0,0
2024-01-01,229,19,Female,26469,33,597,29817,1,11503,24,High,95221,1,0
2024-01-27,230,19,Female,50105,36,825,23052,2,5208,20,High,30479,0,0
2024-03-02,231,45,Male,85375.5,20,633,21531,0,12590,23,High,51172,0,0
2024-04-25,232,40,Male,84323,83,301,27804,2,11886,13,High,60863,0,0
2024-03-17,233,54,Male,111922,99,588.5,33903,1,13866,5,High,47043,0,1
2024-04-14,234,49,Female,78067,81,592,49857,0,2088,21,Medium,87569,0,0
2024-01-03,235,50,Male,69376,62,617,15142,0,4363,9,Low,20408,1,0
2024-04-12,236,18,Female,65587,98,801,14866,2,1024,25,High,62980,1,0
2024-03-10,237,36,Female,85375.5,73,680,9531,1,10764,29,Low,87956,0,0
2024-03-12,238,19,Male,124587,26,588.5,43098,2,10959,25,Low,21351,0,0
2024-01-27,239,61,Male,147534,66,803,43278,2,13935,28,Medium,9131,0,0
2024-01-09,240,43,Female,87584,73,530,33138,2,9068,22,High,49825,0,1
2024-03-02,241,49,Female,124537,73,383,32065,0,19619,6,Medium,16349,0,1
2024-02-06,242,23,Male,98477,40,429,34956,0,8295,5,High,65931,1,0
2024-04-06,243,49,Male,85375.5,17,588.5,46732,1,9392,25,Medium,49254,0,0
2024-02-20,244,21,Male,62533,1,327,44261,1,12390,10,Low,43225,0,0
2024-04-15,245,28,Male,21828,89,365,29817,2,9448,8,High,17453,0,0
2024-02-13,246,34,Male,21917,61,462,29817,2,11433,7,Low,23814,1,0
2024-01-24,247,55,Female,40618,43,528,47533,2,16038,7,Low,23263,0,0
2024-03-19,248,41,Female,52254,42,560,33270,1,12528,6,Medium,82694,1,0
2024-02-28,249,22,Female,85375.5,25,748,18279,0,16743,21,High,20735,1,0
2024-04-27,250,69,Female,136714,39,723,29817,0,9605,29,Low,20830,0,1
2024-02-01,251,51,Male,67362,35,759,49251,2,3014,20,Medium,52893,0,0
2024-04-05,252,23,Male,40128,3,600,28888,2,2381,3,High,49673,0,0
2024-03-28,253,39,Male,143781,44,602,29817,2,2098,19,High,94462,0,0
2024-04-14,254,28,Female,131281,51,586,40144,2,10101,22,Low,50066,0,0
2024-02-21,255,65,Female,79383,94,694,36182,1,1187,15,High,8373,0,0
2024-04-22,256,33,Male,85375.5,98,309,30538,0,12948,4,Low,15335,0,0
2024-03-02,257,50,Male,102180,12,569,16824,2,11207,28,High,28741,0,0
2024-04-22,258,26,Female,107958,19,660,37125,1,3092,12,Medium,15692,0,0
2024-02-27,259,23,Female,85375.5,44,556,11979,2,19514,6,Low,52295,1,0
2024-02-21,260,33,Male,22219,59,432,31189,2,6242,19,Low,50541,0,0
2024-01-12,261,46,Male,59809,49,575,47600,0,9549,4,High,39057,0,0
2024-02-08,262,20,Female,136748,61,812,17504,2,6185,15,High,71983,0,1
2024-01-02,263,37,Male,25287,17,612,25669,0,16271,9,Low,24583,0,0
2024-01-03,264,53,Male,146593,74,588.5,29817,0,6776,5,High,27765,0,0
2024-04-22,265,36,Male,54387,57,420,39964,0,13449,13,Medium,64287,0,0
2024-04-10,266,43,Female,28512,55,406,29817,1,8823,23,High,28906,0,0
2024-04-22,267,20,Female,21342,47,503,30227,1,16717,26,Medium,90103,0,0
2024-02-25,268,36,Female,83076,12,464,10978,0,8355,18,Medium,84675,0,0
2024-03-21,269,37,Female,128872,62,604,26991,2,7465,5,Medium,51525,0,0
2024-02-28,270,49,Female,39216,80,796,22153,0,13737,25,Medium,43230,0,1
2024-04-22,271,24,Female,137512,88,455,38548,2,18881,16,Medium,24520,0,0
2024-01-02,272,69,Female,136682,83,588.5,47676,0,14324,27,High,90238,0,0
2024-01-02,273,58,Male,113070,8,550,44071,2,11350,19,Medium,56934,0,0
2024-04-01,274,50,Male,85375.5,95,633,8983,1,3555,14,High,30566,0,0
2024-02-23,275,57,Male,117829,21,810,14503,2,3951,25,Medium,78193,0,0
2024-03-27,276,56,Male,46614,81,592,34921,0,18622,16,Low,35134,0,0
2024-04-10,277,35,Male,56258,87,319,21905,1,5727,27,Medium,15345,0,0
2024-04-05,278,57,Male,113789,80,581,28953,2,6686,15,Low,46185,1,0
2024-04-06,279,18,Male,62078,70,300,31806,2,4701,22,Medium,97949,1,0
2024-01-01,280,28,Female,85375.5,72,418,27168,2,3780,4,Medium,75744,0,0
2024-01-19,281,45,Female,85375.5,25,334,29817,2,18972,7,Medium,38455,0,0
2024-01-02,282,42,Male,116573,82,497,43714,2,3368,16,Low,33018,0,0
2024-02-22,283,67,Male,32219,89,784,44896,1,16592,24,Low,59219,0,1
2024-02-13,284,40,Female,20235,12,358,16889,1,1436,22,Medium,50991,0,0
2024-03-30,285,48,Male,62929,15,460,29817,1,3828,21,High,78616,0,0
2024-02-01,286,47,Male,147309,59,505,17275,1,2556,22,Medium,92438,0,0
2024-03-10,287,59,Female,87444,26,311,7461,0,14364,21,Low,14486,1,0
2024-02-01,288,52,Male,28567,26,789,19291,1,16061,8,Medium,43862,0,0
2024-04-28,289,24,Female,121834,47,575,16435,2,11576,17,Low,63870,0,1
2024-03-08,290,33,Male,90792,32,588.5,32935,2,17566,16,Low,91694,0,0
2024-02-24,291,43,Female,85441,10,515,38453,1,8190,27,Low,48856,0,0
2024-03-15,292,65,Female,104555,16,550,23544,2,6565,23,Medium,91055,0,0
2024-02-25,293,69,Female,93698,71,425,17258,1,16369,10,Low,36379,0,0
2024-01-17,294,66,Male,144450,17,516,35841,2,2589,10,Low,69729,1,0
2024-02-07,295,19,Female,137248,23,605,15736,0,1159,27,Medium,33378,0,0
2024-01-24,296,18,Male,25415,26,484,42643,0,13145,2,Low,59353,0,0
2024-03-09,297,65,Male,85375.5,85,338,48950,1,16373,9,Medium,54996,1,0
2024-04-25,298,29,Male,63925,86,522,39964,1,7555,17,Low,19031,0,0
2024-04-07,299,22,Male,146523,7,483,33044,1,17237,11,High,85072,1,0
2024-03-10,300,54,Female,25951,14,794,44933,2,10203,10,High,70982,0,0
2024-01-11,302,26,Male,28007,7,477,19215,0,15743,25,High,22618,0,0
2024-04-21,303,58,Male,146730,9,588.5,38069,2,14333,17,Medium,11587,0,0
2024-01-16,304,52,Female,61832,48,593,28911,1,14341,4,High,67790,0,0
2024-04-06,305,36,Male,78596,72,450,22030,2,19691,16,Low,36480,0,0
2024-03-13,306,65,Female,141101,59,683,34334,2,2228,20,Low,25527,1,0
2024-02-28,307,33,Male,50523,87,607,19571,1,6590,15,Medium,28569,1,0
2024-03-10,308,20,Male,108861,93,635,47719,2,6585,25,Low,16151,0,0
2024-03-20,309,37,Female,144194,82,674,33927,0,10227,27,Medium,76094,0,1
2024-04-02,310,41,Male,106740,95,307,25714,0,7046,21,High,64174,0,0
2024-01-03,311,50,Female,35524,94,640,48541,2,13237,5,High,49739,0,0
2024-01-20,312,41,Male,149028,39,428,28387,1,16649,6,Medium,37954,0,0
2024-02-28,313,69,Male,39282,99,651,33444,2,5945,17,Medium,40303,0,0
2024-02-05,314,28,Male,43930,18,657,24921,0,8927,1,Low,39700,0,0
2024-01-19,315,66,Female,85375.5,59,816,18057,2,13641,25,High,98036,0,0
2024-03-30,316,25,Male,125881,17,794,29858,2,16998,19,Medium,72568,1,0
2024-03-07,317,53,Male,145501,14,385,49638,0,14386,4,High,71788,0,0
2024-01-19,318,55,Male,40611,31,588.5,31062,2,8016,17,Medium,76045,0,0
2024-01-20,319,57,Male,36984,24,492,41850,2,15027,9,High,42842,0,0
2024-04-05,320,37,Female,34060,99,588.5,25567,1,16920,24,Low,18900,0,0
2024-03-11,321,52,Female,102985,60,418,34739,1,14752,2,High,85059,0,0
2024-02-21,322,65,Male,104056,45,517,48285,0,19268,8,High,6881,0,1
2024-04-14,323,42,Female,145329,98,726,8754,0,19193,15,High,38037,1,0
2024-02-02,324,52,Male,63303,3,713,32044,0,4167,7,High,6630,0,0
2024-02-09,325,42,Male,79207,37,588.5,6724,1,12989,27,High,25789,0,0
2024-02-08,326,46,Male,95046,43,444,6376,0,15087,6,Low,93059,1,0
2024-03-22,327,35,Female,49287,40,837,13706,0,3437,1,Medium,88494,1,0
2024-04-13,328,63,Female,113709,90,588.5,13894,0,16275,15,High,51151,0,0
2024-01-01,329,35,Female,59711,55,644,29817,1,6276,23,Low,53920,0,0
2024-01-11,330,19,Female,31954,87,300,23450,2,9859,26,High,72231,0,0
2024-04-01,331,52,Female,93340,39,446,21406,0,8818,7,High,85357,0,0
2024-02-26,332,33,Female,92101,15,586,34725,2,5728,29,Medium,8262,0,1
2024-03-29,333,58,Female,91520,4,352,10926,0,6738,25,High,71981,0,0
2024-02-19,334,53,Female,107062,93,603,44019,2,6793,17,Low,86972,0,0
2024-01-23,335,50,Female,122974,86,588.5,14496,1,5523,2,Low,80485,0,0
